--------------------------------------Result--------------------------------------
value_best: -300.0603881459713
position_best: [-55.73478876   4.4902493 ]
history:
1: [-23.96958989  32.39367336] 2101.947334214835
2: [-23.96958989  32.39367336] 2101.947334214835
3: [-23.96958989  32.39367336] 2101.947334214835
4: [-23.96958989  32.39367336] 2101.947334214835
5: [-23.96958989  32.39367336] 2101.947334214835
6: [-23.96958989  32.39367336] 2101.947334214835
7: [-23.96958989  32.39367336] 2101.947334214835
8: [-23.96958989  32.39367336] 2101.947334214835
9: [-23.96958989  32.39367336] 2101.947334214835
10: [-23.96958989  32.39367336] 2101.947334214835
11: [-23.96958989  32.39367336] 2101.947334214835
12: [-23.96958989  32.39367336] 2101.947334214835
13: [-55.73478876  16.80476505] 1956.6659295118707
14: [-55.73478876   2.14723471] 310.65372787494596
15: [-55.73478876   2.14723471] 310.65372787494596
16: [-55.73478876   2.14723471] 310.65372787494596
17: [-55.73478876   2.14723471] 310.65372787494596
18: [-55.73478876   2.14723471] 310.65372787494596
19: [-55.73478876   2.14723471] 310.65372787494596
20: [-55.73478876   2.14723471] 310.65372787494596
21: [-55.73478876   2.14723471] 310.65372787494596
22: [-55.73478876   2.14723471] 310.65372787494596
23: [-55.73478876   2.14723471] 310.65372787494596
24: [-55.73478876   2.14723471] 310.65372787494596
25: [-55.73478876   2.14723471] 310.65372787494596
26: [-55.73478876   2.14723471] 310.65372787494596
27: [-55.73478876   2.14723471] 310.65372787494596
28: [-55.73478876   2.14723471] 310.65372787494596
29: [-55.73478876   2.14723471] 310.65372787494596
30: [-55.73478876   2.14723471] 310.65372787494596
31: [-55.73478876   2.14723471] 310.65372787494596
32: [-55.73478876   2.14723471] 310.65372787494596
33: [-55.73478876   2.14723471] 310.65372787494596
34: [-55.73478876   2.14723471] 310.65372787494596
35: [-55.73478876   2.14723471] 310.65372787494596
36: [-55.73478876   2.14723471] 310.65372787494596
37: [-55.73478876   2.14723471] 310.65372787494596
38: [-55.73478876   2.14723471] 310.65372787494596
39: [-55.73478876   2.14723471] 310.65372787494596
40: [-55.73478876   2.14723471] 310.65372787494596
41: [-55.73478876   2.14723471] 310.65372787494596
42: [-55.73478876   2.14723471] 310.65372787494596
43: [-55.73478876   2.14723471] 310.65372787494596
44: [-55.73478876   2.14723471] 310.65372787494596
45: [-55.73478876   2.14723471] 310.65372787494596
46: [-55.73478876   2.14723471] 310.65372787494596
47: [-55.73478876   2.14723471] 310.65372787494596
48: [-55.73478876   2.14723471] 310.65372787494596
49: [-55.73478876   2.14723471] 310.65372787494596
50: [-55.73478876   2.14723471] 310.65372787494596
51: [-55.73478876   4.79707351] 300.10692235454417
52: [-55.73478876   4.79707351] 300.10692235454417
53: [-55.73478876   4.79707351] 300.10692235454417
54: [-55.73478876   4.79707351] 300.10692235454417
55: [-55.73478876   4.79707351] 300.10692235454417
56: [-55.73478876   4.79707351] 300.10692235454417
57: [-55.73478876   4.79707351] 300.10692235454417
58: [-55.73478876   4.79707351] 300.10692235454417
59: [-55.73478876   4.79707351] 300.10692235454417
60: [-55.73478876   4.79707351] 300.10692235454417
61: [-55.73478876   4.79707351] 300.10692235454417
62: [-55.73478876   4.79707351] 300.10692235454417
63: [-55.73478876   4.4902493 ] 300.0603881459713
64: [-55.73478876   4.4902493 ] 300.0603881459713
65: [-55.73478876   4.4902493 ] 300.0603881459713
66: [-55.73478876   4.4902493 ] 300.0603881459713
67: [-55.73478876   4.4902493 ] 300.0603881459713
68: [-55.73478876   4.4902493 ] 300.0603881459713
69: [-55.73478876   4.4902493 ] 300.0603881459713
70: [-55.73478876   4.4902493 ] 300.0603881459713
71: [-55.73478876   4.4902493 ] 300.0603881459713
72: [-55.73478876   4.4902493 ] 300.0603881459713
73: [-55.73478876   4.4902493 ] 300.0603881459713
74: [-55.73478876   4.4902493 ] 300.0603881459713
75: [-55.73478876   4.4902493 ] 300.0603881459713
76: [-55.73478876   4.4902493 ] 300.0603881459713
77: [-55.73478876   4.4902493 ] 300.0603881459713
78: [-55.73478876   4.4902493 ] 300.0603881459713
79: [-55.73478876   4.4902493 ] 300.0603881459713
80: [-55.73478876   4.4902493 ] 300.0603881459713
