--------------------------------------Result--------------------------------------
value_best: -300.0000000000211
position_best: [-55.93832383   4.54306298]
history:
1: [-64.60906379   6.35982895] 1109.8086973610953
2: [-50.38007898   9.01303204] 351.07435900477554
3: [-61.48397516   1.63931766] 342.79502713375615
4: [-61.48397516   1.63931766] 342.79502713375615
5: [-56.28307164   0.79428779] 326.73624975999445
6: [-56.28307164   0.79428779] 326.73624975999445
7: [-56.28307164   0.79428779] 326.73624975999445
8: [-56.28307164   0.79428779] 326.73624975999445
9: [-56.28307164   0.79428779] 326.73624975999445
10: [-56.28307164   0.79428779] 326.73624975999445
11: [-57.82076299   5.60585015] 311.3699819570314
12: [-57.82076299   5.60585015] 311.3699819570314
13: [-57.82076299   5.60585015] 311.3699819570314
14: [-57.69949602   3.47888009] 304.34063427860525
15: [-57.69949602   3.47888009] 304.34063427860525
16: [-57.69949602   3.47888009] 304.34063427860525
17: [-57.69949602   3.47888009] 304.34063427860525
18: [-57.54028397   4.03382296] 303.16686825441434
19: [-57.16049463   3.60515318] 302.38650759507385
20: [-54.92917736   4.50205359] 301.35132885778836
21: [-54.92917736   4.50205359] 301.35132885778836
22: [-54.92917736   4.50205359] 301.35132885778836
23: [-56.50880426   4.69405659] 300.4902680789478
24: [-56.50880426   4.69405659] 300.4902680789478
25: [-56.50880426   4.69405659] 300.4902680789478
26: [-56.0001544    4.18030402] 300.1603339451584
27: [-56.0001544    4.18030402] 300.1603339451584
28: [-56.0001544    4.18030402] 300.1603339451584
29: [-56.0001544    4.18030402] 300.1603339451584
30: [-55.94577922   4.85426013] 300.12425382752684
31: [-56.10371662   4.5255217 ] 300.03280123934485
32: [-56.10371662   4.5255217 ] 300.03280123934485
33: [-56.10371662   4.5255217 ] 300.03280123934485
34: [-56.10371662   4.5255217 ] 300.03280123934485
35: [-55.87822902   4.50205359] 300.0078289994267
36: [-55.94577922   4.49689788] 300.00258919223563
37: [-55.94577922   4.49689788] 300.00258919223563
38: [-55.94577922   4.49689788] 300.00258919223563
39: [-55.94577922   4.49689788] 300.00258919223563
40: [-55.94577922   4.49689788] 300.00258919223563
41: [-55.94577922   4.49689788] 300.00258919223563
42: [-55.94577922   4.49689788] 300.00258919223563
43: [-55.93051332   4.50332705] 300.0022254274569
44: [-55.94622966   4.52570342] 300.00038947743826
45: [-55.92621297   4.53594925] 300.00028852388095
46: [-55.92621297   4.53594925] 300.00028852388095
47: [-55.93327461   4.54625021] 300.0000363485812
48: [-55.94012774   4.54123536] 300.0000065965666
49: [-55.94012774   4.54123536] 300.0000065965666
50: [-55.94012774   4.54123536] 300.0000065965666
51: [-55.94012774   4.54123536] 300.0000065965666
52: [-55.94012774   4.54123536] 300.0000065965666
53: [-55.94012774   4.54123536] 300.0000065965666
54: [-55.94012774   4.54285317] 300.0000038783237
55: [-55.93838148   4.54431511] 300.0000020105355
56: [-55.93862037   4.54373597] 300.00000077295994
57: [-55.93889255   4.54295561] 300.00000038024524
58: [-55.93834179   4.54306203] 300.0000000002703
59: [-55.93834179   4.54306203] 300.0000000002703
60: [-55.93834179   4.54306203] 300.0000000002703
61: [-55.93834179   4.54306203] 300.0000000002703
62: [-55.93834179   4.54306203] 300.0000000002703
63: [-55.93834179   4.54306203] 300.0000000002703
64: [-55.93834179   4.54306203] 300.0000000002703
65: [-55.93834179   4.54306203] 300.0000000002703
66: [-55.93834179   4.54306203] 300.0000000002703
67: [-55.93834179   4.54306203] 300.0000000002703
68: [-55.93834179   4.54306203] 300.0000000002703
69: [-55.93834179   4.54306203] 300.0000000002703
70: [-55.93834179   4.54306203] 300.0000000002703
71: [-55.93834179   4.54306203] 300.0000000002703
72: [-55.93834179   4.54306203] 300.0000000002703
73: [-55.93833829   4.54306135] 300.00000000016325
74: [-55.93833829   4.54306135] 300.00000000016325
75: [-55.93833829   4.54306135] 300.00000000016325
76: [-55.93832383   4.54306298] 300.0000000000211
77: [-55.93832383   4.54306298] 300.0000000000211
78: [-55.93832383   4.54306298] 300.0000000000211
79: [-55.93832383   4.54306298] 300.0000000000211
80: [-55.93832383   4.54306298] 300.0000000000211
