--------------------------------------Result--------------------------------------
value_best: -2896.3438785784037
position_best: [-22.65587274  41.95802918]
history:
1: [-22.65587274  41.95802918] 2896.3438785784037
2: [-22.65587274  41.95802918] 2896.3438785784037
3: [-22.65587274  41.95802918] 2896.3438785784037
4: [-22.65587274  41.95802918] 2896.3438785784037
5: [-22.65587274  41.95802918] 2896.3438785784037
6: [-22.65587274  41.95802918] 2896.3438785784037
7: [-22.65587274  41.95802918] 2896.3438785784037
8: [-22.65587274  41.95802918] 2896.3438785784037
9: [-22.65587274  41.95802918] 2896.3438785784037
10: [-22.65587274  41.95802918] 2896.3438785784037
11: [-22.65587274  41.95802918] 2896.3438785784037
12: [-22.65587274  41.95802918] 2896.3438785784037
13: [-22.65587274  41.95802918] 2896.3438785784037
14: [-22.65587274  41.95802918] 2896.3438785784037
15: [-22.65587274  41.95802918] 2896.3438785784037
16: [-22.65587274  41.95802918] 2896.3438785784037
17: [-22.65587274  41.95802918] 2896.3438785784037
18: [-22.65587274  41.95802918] 2896.3438785784037
19: [-22.65587274  41.95802918] 2896.3438785784037
20: [-22.65587274  41.95802918] 2896.3438785784037
21: [-22.65587274  41.95802918] 2896.3438785784037
22: [-22.65587274  41.95802918] 2896.3438785784037
23: [-22.65587274  41.95802918] 2896.3438785784037
24: [-22.65587274  41.95802918] 2896.3438785784037
25: [-22.65587274  41.95802918] 2896.3438785784037
26: [-22.65587274  41.95802918] 2896.3438785784037
27: [-22.65587274  41.95802918] 2896.3438785784037
28: [-22.65587274  41.95802918] 2896.3438785784037
29: [-22.65587274  41.95802918] 2896.3438785784037
30: [-22.65587274  41.95802918] 2896.3438785784037
31: [-22.65587274  41.95802918] 2896.3438785784037
32: [-22.65587274  41.95802918] 2896.3438785784037
33: [-22.65587274  41.95802918] 2896.3438785784037
34: [-22.65587274  41.95802918] 2896.3438785784037
35: [-22.65587274  41.95802918] 2896.3438785784037
36: [-22.65587274  41.95802918] 2896.3438785784037
37: [-22.65587274  41.95802918] 2896.3438785784037
38: [-22.65587274  41.95802918] 2896.3438785784037
39: [-22.65587274  41.95802918] 2896.3438785784037
40: [-22.65587274  41.95802918] 2896.3438785784037
41: [-22.65587274  41.95802918] 2896.3438785784037
42: [-22.65587274  41.95802918] 2896.3438785784037
43: [-22.65587274  41.95802918] 2896.3438785784037
44: [-22.65587274  41.95802918] 2896.3438785784037
45: [-22.65587274  41.95802918] 2896.3438785784037
46: [-22.65587274  41.95802918] 2896.3438785784037
47: [-22.65587274  41.95802918] 2896.3438785784037
48: [-22.65587274  41.95802918] 2896.3438785784037
49: [-22.65587274  41.95802918] 2896.3438785784037
50: [-22.65587274  41.95802918] 2896.3438785784037
51: [-22.65587274  41.95802918] 2896.3438785784037
52: [-22.65587274  41.95802918] 2896.3438785784037
53: [-22.65587274  41.95802918] 2896.3438785784037
54: [-22.65587274  41.95802918] 2896.3438785784037
55: [-22.65587274  41.95802918] 2896.3438785784037
56: [-22.65587274  41.95802918] 2896.3438785784037
57: [-22.65587274  41.95802918] 2896.3438785784037
58: [-22.65587274  41.95802918] 2896.3438785784037
59: [-22.65587274  41.95802918] 2896.3438785784037
60: [-22.65587274  41.95802918] 2896.3438785784037
61: [-22.65587274  41.95802918] 2896.3438785784037
62: [-22.65587274  41.95802918] 2896.3438785784037
63: [-22.65587274  41.95802918] 2896.3438785784037
64: [-22.65587274  41.95802918] 2896.3438785784037
65: [-22.65587274  41.95802918] 2896.3438785784037
66: [-22.65587274  41.95802918] 2896.3438785784037
67: [-22.65587274  41.95802918] 2896.3438785784037
68: [-22.65587274  41.95802918] 2896.3438785784037
69: [-22.65587274  41.95802918] 2896.3438785784037
70: [-22.65587274  41.95802918] 2896.3438785784037
71: [-22.65587274  41.95802918] 2896.3438785784037
72: [-22.65587274  41.95802918] 2896.3438785784037
73: [-22.65587274  41.95802918] 2896.3438785784037
74: [-22.65587274  41.95802918] 2896.3438785784037
75: [-22.65587274  41.95802918] 2896.3438785784037
76: [-22.65587274  41.95802918] 2896.3438785784037
77: [-22.65587274  41.95802918] 2896.3438785784037
78: [-22.65587274  41.95802918] 2896.3438785784037
79: [-22.65587274  41.95802918] 2896.3438785784037
80: [-22.65587274  41.95802918] 2896.3438785784037
