--------------------------------------Result--------------------------------------
value_best: -303.70123187507204
position_best: [-54.24563865   5.33883855]
history:
1: [-83.68588071 -15.05521359] 1608.4274047817541
2: [-83.68588071 -15.05521359] 1608.4274047817541
3: [-52.91046802   4.03424326] 321.4945252435985
4: [-52.91046802   4.03424326] 321.4945252435985
5: [-52.91046802   7.15294089] 315.99801597709586
6: [-52.91046802   7.15294089] 315.99801597709586
7: [-52.91046802   7.15294089] 315.99801597709586
8: [-52.91046802   7.15294089] 315.99801597709586
9: [-52.91046802   7.15294089] 315.99801597709586
10: [-52.91046802   7.15294089] 315.99801597709586
11: [-52.91046802   7.15294089] 315.99801597709586
12: [-52.91046802   7.15294089] 315.99801597709586
13: [-52.91046802   7.15294089] 315.99801597709586
14: [-52.91046802   7.15294089] 315.99801597709586
15: [-52.91046802   7.15294089] 315.99801597709586
16: [-52.91046802   7.15294089] 315.99801597709586
17: [-52.91046802   7.15294089] 315.99801597709586
18: [-52.91046802   7.15294089] 315.99801597709586
19: [-52.91046802   7.15294089] 315.99801597709586
20: [-52.91046802   7.15294089] 315.99801597709586
21: [-52.91046802   7.15294089] 315.99801597709586
22: [-53.30925894   7.15294089] 313.726920564884
23: [-53.30925894   7.15294089] 313.726920564884
24: [-53.30925894   7.15294089] 313.726920564884
25: [-53.30925894   7.15294089] 313.726920564884
26: [-53.30925894   7.15294089] 313.726920564884
27: [-53.30925894   7.15294089] 313.726920564884
28: [-53.30925894   7.15294089] 313.726920564884
29: [-53.30925894   7.15294089] 313.726920564884
30: [-52.91046804   6.11443938] 312.2822930695874
31: [-52.91046804   6.11443938] 312.2822930695874
32: [-54.24563865   7.1529409 ] 310.01163245329803
33: [-54.24563865   7.1529409 ] 310.01163245329803
34: [-54.24563865   7.1529409 ] 310.01163245329803
35: [-54.24563865   7.1529409 ] 310.01163245329803
36: [-54.24563865   7.1529409 ] 310.01163245329803
37: [-54.24563865   7.1529409 ] 310.01163245329803
38: [-54.24563865   7.1529409 ] 310.01163245329803
39: [-54.24563865   7.1529409 ] 310.01163245329803
40: [-54.24563865   7.1529409 ] 310.01163245329803
41: [-54.24563865   7.1529409 ] 310.01163245329803
42: [-54.24563865   7.1529409 ] 310.01163245329803
43: [-54.24563865   7.1529409 ] 310.01163245329803
44: [-54.24563865   7.1529409 ] 310.01163245329803
45: [-54.24563865   5.7643285 ] 304.3972355260454
46: [-54.24563865   5.7643285 ] 304.3972355260454
47: [-54.24563865   5.7643285 ] 304.3972355260454
48: [-54.24563865   5.7643285 ] 304.3972355260454
49: [-54.24563865   5.7643285 ] 304.3972355260454
50: [-54.24563865   5.7643285 ] 304.3972355260454
51: [-54.24563865   5.7643285 ] 304.3972355260454
52: [-54.24563865   5.33883855] 303.70123187507204
53: [-54.24563865   5.33883855] 303.70123187507204
54: [-54.24563865   5.33883855] 303.70123187507204
55: [-54.24563865   5.33883855] 303.70123187507204
56: [-54.24563865   5.33883855] 303.70123187507204
57: [-54.24563865   5.33883855] 303.70123187507204
58: [-54.24563865   5.33883855] 303.70123187507204
59: [-54.24563865   5.33883855] 303.70123187507204
60: [-54.24563865   5.33883855] 303.70123187507204
61: [-54.24563865   5.33883855] 303.70123187507204
62: [-54.24563865   5.33883855] 303.70123187507204
63: [-54.24563865   5.33883855] 303.70123187507204
64: [-54.24563865   5.33883855] 303.70123187507204
65: [-54.24563865   5.33883855] 303.70123187507204
66: [-54.24563865   5.33883855] 303.70123187507204
67: [-54.24563865   5.33883855] 303.70123187507204
68: [-54.24563865   5.33883855] 303.70123187507204
69: [-54.24563865   5.33883855] 303.70123187507204
70: [-54.24563865   5.33883855] 303.70123187507204
71: [-54.24563865   5.33883855] 303.70123187507204
72: [-54.24563865   5.33883855] 303.70123187507204
73: [-54.24563865   5.33883855] 303.70123187507204
74: [-54.24563865   5.33883855] 303.70123187507204
75: [-54.24563865   5.33883855] 303.70123187507204
76: [-54.24563865   5.33883855] 303.70123187507204
77: [-54.24563865   5.33883855] 303.70123187507204
78: [-54.24563865   5.33883855] 303.70123187507204
79: [-54.24563865   5.33883855] 303.70123187507204
80: [-54.24563865   5.33883855] 303.70123187507204
