--------------------------------------Result--------------------------------------
value_best: -300.4239328538847
position_best: [-56.52955594   4.34887612]
history:
1: [-57.55261702   3.99947096] 303.22452316443133
2: [-57.55261702   3.99947096] 303.22452316443133
3: [-57.55261702   3.99947096] 303.22452316443133
4: [-57.55261702   3.99947096] 303.22452316443133
5: [-57.55261702   3.99947096] 303.22452316443133
6: [-57.55261702   3.99947096] 303.22452316443133
7: [-57.55261702   3.99947096] 303.22452316443133
8: [-57.55261702   3.99947096] 303.22452316443133
9: [-57.55261702   3.99947096] 303.22452316443133
10: [-57.55261702   3.99947096] 303.22452316443133
11: [-57.55261702   3.99947096] 303.22452316443133
12: [-57.55261702   3.99947096] 303.22452316443133
13: [-57.55261702   3.99947096] 303.22452316443133
14: [-57.55261702   3.99947096] 303.22452316443133
15: [-57.55261702   3.99947096] 303.22452316443133
16: [-57.55261702   3.99947096] 303.22452316443133
17: [-57.55261702   3.99947096] 303.22452316443133
18: [-57.55261702   3.99947096] 303.22452316443133
19: [-57.55261702   3.99947096] 303.22452316443133
20: [-57.55261702   3.99947096] 303.22452316443133
21: [-57.55261702   3.99947096] 303.22452316443133
22: [-57.2741903    3.99947096] 302.2370408341665
23: [-57.2741903    3.99947096] 302.2370408341665
24: [-57.2741903    3.99947096] 302.2370408341665
25: [-57.2741903    4.16083411] 302.1795064118292
26: [-57.2741903    4.16083411] 302.1795064118292
27: [-57.2741903    4.16083411] 302.1795064118292
28: [-57.2741903    4.16083411] 302.1795064118292
29: [-57.2741903    4.16083411] 302.1795064118292
30: [-57.2741903    4.16083411] 302.1795064118292
31: [-57.2741903    4.16083411] 302.1795064118292
32: [-57.2741903    4.16083411] 302.1795064118292
33: [-57.2741903    4.16083411] 302.1795064118292
34: [-57.2741903    4.16083411] 302.1795064118292
35: [-57.2741903    4.16083411] 302.1795064118292
36: [-57.2741903    4.16083411] 302.1795064118292
37: [-57.2741903    4.16083411] 302.1795064118292
38: [-57.2741903    4.16083411] 302.1795064118292
39: [-57.2741903    4.16083411] 302.1795064118292
40: [-57.2741903    4.16083411] 302.1795064118292
41: [-57.2741903    4.16083411] 302.1795064118292
42: [-57.2741903    4.16083411] 302.1795064118292
43: [-57.2741903    4.16083411] 302.1795064118292
44: [-57.2741903    4.16083411] 302.1795064118292
45: [-57.2741903    4.16083411] 302.1795064118292
46: [-56.52955594   3.99947096] 300.64512768959327
47: [-56.52955594   3.99947096] 300.64512768959327
48: [-56.52955594   3.99947096] 300.64512768959327
49: [-56.52955594   3.99947096] 300.64512768959327
50: [-56.52955594   3.99947096] 300.64512768959327
51: [-56.52955594   3.99947096] 300.64512768959327
52: [-56.52955594   3.99947096] 300.64512768959327
53: [-56.52955594   3.99947096] 300.64512768959327
54: [-56.52955594   3.99947096] 300.64512768959327
55: [-56.52955594   3.99947096] 300.64512768959327
56: [-56.52955594   3.99947096] 300.64512768959327
57: [-56.52955594   3.99947096] 300.64512768959327
58: [-56.52955594   3.99947096] 300.64512768959327
59: [-56.52955594   3.99947096] 300.64512768959327
60: [-56.52955594   3.99947096] 300.64512768959327
61: [-56.52955594   3.99947096] 300.64512768959327
62: [-56.52955594   3.99947096] 300.64512768959327
63: [-56.52955594   3.99947096] 300.64512768959327
64: [-56.52955594   3.99947096] 300.64512768959327
65: [-56.52955594   4.34887612] 300.4239328538847
66: [-56.52955594   4.34887612] 300.4239328538847
67: [-56.52955594   4.34887612] 300.4239328538847
68: [-56.52955594   4.34887612] 300.4239328538847
69: [-56.52955594   4.34887612] 300.4239328538847
70: [-56.52955594   4.34887612] 300.4239328538847
71: [-56.52955594   4.34887612] 300.4239328538847
72: [-56.52955594   4.34887612] 300.4239328538847
73: [-56.52955594   4.34887612] 300.4239328538847
74: [-56.52955594   4.34887612] 300.4239328538847
75: [-56.52955594   4.34887612] 300.4239328538847
76: [-56.52955594   4.34887612] 300.4239328538847
77: [-56.52955594   4.34887612] 300.4239328538847
78: [-56.52955594   4.34887612] 300.4239328538847
79: [-56.52955594   4.34887612] 300.4239328538847
80: [-56.52955594   4.34887612] 300.4239328538847
81: [-56.52955594   4.34887612] 300.4239328538847
82: [-56.52955594   4.34887612] 300.4239328538847
83: [-56.52955594   4.34887612] 300.4239328538847
84: [-56.52955594   4.34887612] 300.4239328538847
85: [-56.52955594   4.34887612] 300.4239328538847
86: [-56.52955594   4.34887612] 300.4239328538847
87: [-56.52955594   4.34887612] 300.4239328538847
88: [-56.52955594   4.34887612] 300.4239328538847
89: [-56.52955594   4.34887612] 300.4239328538847
90: [-56.52955594   4.34887612] 300.4239328538847
91: [-56.52955594   4.34887612] 300.4239328538847
92: [-56.52955594   4.34887612] 300.4239328538847
93: [-56.52955594   4.34887612] 300.4239328538847
94: [-56.52955594   4.34887612] 300.4239328538847
