--------------------------------------Result--------------------------------------
value_best: -300.23909491859126
position_best: [-56.03601451   4.9445391 ]
history:
1: [-64.00663223   6.158391  ] 901.9181673085141
2: [-64.00663223   6.158391  ] 901.9181673085141
3: [-64.00663223   1.50459514] 411.4381741208132
4: [-64.00663223   1.50459514] 411.4381741208132
5: [-64.00663223   1.50459514] 411.4381741208132
6: [-64.00663223   1.50459514] 411.4381741208132
7: [-64.00663223   1.50459514] 411.4381741208132
8: [-64.00663223   1.50459514] 411.4381741208132
9: [-64.00663223   1.50459514] 411.4381741208132
10: [-64.00663223   1.50459514] 411.4381741208132
11: [-64.00663223   1.50459514] 411.4381741208132
12: [-64.00663223   1.50459514] 411.4381741208132
13: [-64.00663223   1.50459514] 411.4381741208132
14: [-64.00663223   1.50459514] 411.4381741208132
15: [-64.00663223   1.50459514] 411.4381741208132
16: [-64.00663223  -0.65982246] 396.2639851841692
17: [-64.00663223  -0.65982246] 396.2639851841692
18: [-64.00663223  -0.65982246] 396.2639851841692
19: [-64.00663223  -0.65982246] 396.2639851841692
20: [-64.00663223  -0.65982246] 396.2639851841692
21: [-64.00663223  -0.65982246] 396.2639851841692
22: [-64.00663223  -0.65982246] 396.2639851841692
23: [-64.00663223  -0.65982246] 396.2639851841692
24: [-64.00663223  -0.65982246] 396.2639851841692
25: [-64.00663223  -0.65982246] 396.2639851841692
26: [-64.00663223  -0.65982246] 396.2639851841692
27: [-64.00663223  -0.65982246] 396.2639851841692
28: [-64.00663223  -0.65982246] 396.2639851841692
29: [-64.00663223  -0.65982246] 396.2639851841692
30: [-64.00663223  -0.65982246] 396.2639851841692
31: [-64.00663223  -0.65982246] 396.2639851841692
32: [-64.00663223  -0.65982246] 396.2639851841692
33: [-53.81637627   2.27977774] 337.5966700031903
34: [-53.81637627   2.27977774] 337.5966700031903
35: [-53.81637627   2.27977774] 337.5966700031903
36: [-53.81637627   2.27977774] 337.5966700031903
37: [-53.81637627   2.27977774] 337.5966700031903
38: [-53.81637627   2.27977774] 337.5966700031903
39: [-53.81637627   2.27977774] 337.5966700031903
40: [-53.81637627   2.27977774] 337.5966700031903
41: [-53.81637627   2.27977774] 337.5966700031903
42: [-53.81637627   2.27977774] 337.5966700031903
