--------------------------------------Result--------------------------------------
value_best: -300.9089339501221
position_best: [-56.07640355   5.32990734]
history:
1: [-46.05576304   9.57955745] 452.6050394256492
2: [-46.05576304   9.57955745] 452.6050394256492
3: [-46.05576304   9.57955745] 452.6050394256492
4: [-46.05576304   9.57955745] 452.6050394256492
5: [-46.05576304   9.57955745] 452.6050394256492
6: [-46.05576304   9.57955745] 452.6050394256492
7: [-46.05576304   9.57955745] 452.6050394256492
8: [-46.05576304   9.57955745] 452.6050394256492
9: [-46.05576304   9.57955745] 452.6050394256492
10: [-46.05576304   9.57955745] 452.6050394256492
11: [-46.05576304   9.57955745] 452.6050394256492
12: [-46.05576304   9.57955745] 452.6050394256492
13: [-46.05576304   9.57955745] 452.6050394256492
14: [-46.05576304   9.57955745] 452.6050394256492
15: [-46.05576304   9.57955745] 452.6050394256492
16: [-46.05576304   9.57955745] 452.6050394256492
17: [-46.05576304   9.57955745] 452.6050394256492
18: [-50.02744527   9.57955745] 360.3987233273234
19: [-50.02744527   9.57955745] 360.3987233273234
20: [-50.02744527   9.57955745] 360.3987233273234
21: [-50.02744527   9.57955745] 360.3987233273234
22: [-50.02744527   9.57955745] 360.3987233273234
23: [-50.02744527   9.57955745] 360.3987233273234
24: [-50.02744527   9.57955745] 360.3987233273234
25: [-50.02744527   9.57955745] 360.3987233273234
26: [-50.02744527   9.57955745] 360.3987233273234
27: [-50.02744527   9.57955745] 360.3987233273234
28: [-50.02744527   9.57955745] 360.3987233273234
29: [-50.02744527   9.57955745] 360.3987233273234
30: [-50.02744527   9.57955745] 360.3987233273234
31: [-50.02744527   9.57955745] 360.3987233273234
32: [-50.02744527   9.57955745] 360.3987233273234
33: [-50.02744527   9.57955745] 360.3987233273234
34: [-50.02744527   9.57955745] 360.3987233273234
35: [-50.02744527   9.57955745] 360.3987233273234
36: [-50.02744527   9.57955745] 360.3987233273234
37: [-50.02744527   9.57955745] 360.3987233273234
38: [-50.02744527   9.57955745] 360.3987233273234
39: [-50.02744527   9.57955745] 360.3987233273234
40: [-50.02744527   9.57955745] 360.3987233273234
41: [-50.02744527   9.57955745] 360.3987233273234
42: [-50.02744527   9.57955745] 360.3987233273234
43: [-53.13385404   9.37618725] 334.00311614292843
44: [-53.13385404   9.37618725] 334.00311614292843
45: [-53.13385404   9.37618725] 334.00311614292843
46: [-53.13385404   9.37618725] 334.00311614292843
47: [-53.13385404   9.37618725] 334.00311614292843
48: [-53.13385404   9.37618725] 334.00311614292843
49: [-53.13385404   9.37618725] 334.00311614292843
50: [-53.13385404   9.37618725] 334.00311614292843
51: [-53.13385404   9.37618725] 334.00311614292843
52: [-53.13385404   9.37618725] 334.00311614292843
53: [-53.13385404   9.37618725] 334.00311614292843
54: [-53.13385404   9.37618725] 334.00311614292843
55: [-53.13385404   9.37618725] 334.00311614292843
56: [-53.13385404   9.37618725] 334.00311614292843
57: [-53.13385404   9.37618725] 334.00311614292843
58: [-53.13385404   9.37618725] 334.00311614292843
59: [-53.13385404   9.37618725] 334.00311614292843
60: [-53.13385404   9.37618725] 334.00311614292843
61: [-53.13385404   9.37618725] 334.00311614292843
62: [-53.13385404   9.37618725] 334.00311614292843
63: [-53.13385404   9.37618725] 334.00311614292843
64: [-53.13385404   9.37618725] 334.00311614292843
65: [-53.13385404   5.99934733] 310.5140865086766
66: [-53.13385404   5.99934733] 310.5140865086766
67: [-53.13385404   5.99934733] 310.5140865086766
68: [-53.13385404   5.99934733] 310.5140865086766
69: [-53.13385404   5.99934733] 310.5140865086766
70: [-53.13385404   5.99934733] 310.5140865086766
71: [-53.13385404   5.99934733] 310.5140865086766
72: [-53.13385404   5.99934733] 310.5140865086766
73: [-53.13385404   5.99934733] 310.5140865086766
74: [-53.13385404   5.99934733] 310.5140865086766
75: [-53.13385404   5.99934733] 310.5140865086766
76: [-53.13385404   5.99934733] 310.5140865086766
77: [-53.13385404   5.99934733] 310.5140865086766
78: [-53.13385404   5.99934733] 310.5140865086766
79: [-53.13385404   5.99934733] 310.5140865086766
80: [-53.13385404   5.99934733] 310.5140865086766
81: [-53.13385404   5.99934733] 310.5140865086766
82: [-53.13385404   5.99934733] 310.5140865086766
83: [-53.13385404   5.99934733] 310.5140865086766
84: [-53.13385404   5.99934733] 310.5140865086766
85: [-53.13385404   5.99934733] 310.5140865086766
86: [-53.13385404   5.99934733] 310.5140865086766
87: [-53.13385404   5.99934733] 310.5140865086766
88: [-53.13385404   5.99934733] 310.5140865086766
89: [-53.13385404   5.99934733] 310.5140865086766
90: [-53.13385404   5.99934733] 310.5140865086766
91: [-53.13385404   5.99934733] 310.5140865086766
92: [-53.13385404   5.99934733] 310.5140865086766
93: [-53.13385404   5.99934733] 310.5140865086766
94: [-53.13385404   5.99934733] 310.5140865086766
95: [-53.13385404   5.99934733] 310.5140865086766
96: [-53.13385404   5.99934733] 310.5140865086766
97: [-53.13385404   5.99934733] 310.5140865086766
98: [-53.13385404   5.99934733] 310.5140865086766
99: [-53.13385404   5.99934733] 310.5140865086766
100: [-53.13385404   5.99934733] 310.5140865086766
101: [-53.13385404   5.99934733] 310.5140865086766
102: [-53.13385404   5.99934733] 310.5140865086766
103: [-53.13385404   5.99934733] 310.5140865086766
104: [-53.13385404   5.99934733] 310.5140865086766
105: [-53.33857217   5.99934733] 309.220704924649
106: [-53.33857217   5.99934733] 309.220704924649
107: [-53.33857217   5.99934733] 309.220704924649
108: [-53.33857217   5.99934733] 309.220704924649
109: [-53.33857217   5.99934733] 309.220704924649
110: [-53.33857217   5.99934733] 309.220704924649
111: [-53.33857217   5.99934733] 309.220704924649
112: [-53.33857217   5.99934733] 309.220704924649
113: [-53.33857217   5.99934733] 309.220704924649
