--------------------------------------Result--------------------------------------
value_best: -300.0
position_best: [-55.93832678   4.54306527]
history:
1: [-58.65821628   7.18192206] 372.9168488369322
2: [-54.84308836   0.69401141] 361.819993548361
3: [-54.84308836   0.69401141] 361.819993548361
4: [-54.84308836   0.69401141] 361.819993548361
5: [-54.84308836   0.69401141] 361.819993548361
6: [-54.84308836   0.69401141] 361.819993548361
7: [-54.84308836   0.69401141] 361.819993548361
8: [-56.37326332   7.73100704] 325.39482880724427
9: [-56.37326332   7.73100704] 325.39482880724427
10: [-56.37326332   7.73100704] 325.39482880724427
11: [-56.37326332   5.47698858] 301.766077740686
12: [-56.37326332   5.47698858] 301.766077740686
13: [-56.37326332   5.47698858] 301.766077740686
14: [-56.37326332   5.47698858] 301.766077740686
15: [-56.37326332   5.47698858] 301.766077740686
16: [-56.37326332   5.47698858] 301.766077740686
17: [-56.37326332   5.47698858] 301.766077740686
18: [-56.36484131   4.78388232] 300.3615742850369
19: [-56.36484131   4.78388232] 300.3615742850369
20: [-56.36484131   4.78388232] 300.3615742850369
21: [-56.36484131   4.78388232] 300.3615742850369
22: [-56.23587007   4.73393694] 300.1873536626548
23: [-56.23587007   4.73393694] 300.1873536626548
24: [-56.23587007   4.73393694] 300.1873536626548
25: [-56.14691251   4.31094698] 300.0976939754769
26: [-56.14691251   4.31094698] 300.0976939754769
27: [-56.14691251   4.31094698] 300.0976939754769
28: [-56.14691251   4.31094698] 300.0976939754769
29: [-55.92523625   4.73148075] 300.0438857450596
30: [-55.84170666   4.41912065] 300.03708009623944
31: [-55.84170666   4.41912065] 300.03708009623944
32: [-55.84170666   4.41912065] 300.03708009623944
33: [-56.02966992   4.42591925] 300.02231084940684
34: [-55.90867244   4.54276296] 300.00109237720716
35: [-55.90867244   4.54276296] 300.00109237720716
36: [-55.90867244   4.54276296] 300.00109237720716
37: [-55.92236986   4.53244584] 300.0005420352853
38: [-55.92236986   4.53244584] 300.0005420352853
39: [-55.94756736   4.54415379] 300.000112141031
40: [-55.94756736   4.54415379] 300.000112141031
41: [-55.94756736   4.54415379] 300.000112141031
42: [-55.93763104   4.55076612] 300.00007282452714
43: [-55.93763104   4.55076612] 300.00007282452714
44: [-55.93763104   4.55076612] 300.00007282452714
45: [-55.93763104   4.55076612] 300.00007282452714
46: [-55.93763104   4.55076612] 300.00007282452714
47: [-55.9365245    4.54260568] 300.0000046981424
48: [-55.9365245    4.54260568] 300.0000046981424
49: [-55.9365245    4.54260568] 300.0000046981424
50: [-55.9365245    4.54260568] 300.0000046981424
51: [-55.9365245    4.54260568] 300.0000046981424
52: [-55.9365245    4.54260568] 300.0000046981424
53: [-55.9365245    4.54260568] 300.0000046981424
54: [-55.93866309   4.5421588 ] 300.0000010258055
55: [-55.938641     4.54308435] 300.0000001256121
56: [-55.938641     4.54308435] 300.0000001256121
57: [-55.938641     4.54308435] 300.0000001256121
58: [-55.938641     4.54308435] 300.0000001256121
59: [-55.938641     4.54308435] 300.0000001256121
60: [-55.938641     4.54308435] 300.0000001256121
61: [-55.938641     4.54308435] 300.0000001256121
62: [-55.938641     4.54308435] 300.0000001256121
63: [-55.938641     4.54308435] 300.0000001256121
64: [-55.93846281   4.54301555] 300.0000000226657
65: [-55.93846281   4.54301555] 300.0000000226657
66: [-55.9382635    4.54306422] 300.00000000498034
67: [-55.9382635    4.54306422] 300.00000000498034
68: [-55.93831885   4.54312412] 300.00000000420175
69: [-55.93831885   4.54312412] 300.00000000420175
70: [-55.93828794   4.54310822] 300.00000000334666
71: [-55.93832245   4.54306327] 300.0000000000326
72: [-55.93832568   4.54306327] 300.0000000000081
73: [-55.93832568   4.54306327] 300.0000000000081
74: [-55.93832568   4.54306327] 300.0000000000081
75: [-55.93832568   4.54306327] 300.0000000000081
76: [-55.93832568   4.54306327] 300.0000000000081
77: [-55.93832568   4.54306327] 300.0000000000081
78: [-55.93832568   4.54306327] 300.0000000000081
79: [-55.93832534   4.54306754] 300.00000000000665
80: [-55.93832534   4.54306454] 300.0000000000038
81: [-55.93832534   4.54306454] 300.0000000000038
82: [-55.93832534   4.54306454] 300.0000000000038
83: [-55.93832534   4.54306454] 300.0000000000038
84: [-55.93832534   4.54306454] 300.0000000000038
85: [-55.93832534   4.54306454] 300.0000000000038
86: [-55.93832534   4.54306454] 300.0000000000038
87: [-55.93832678   4.54306527] 300.0
88: [-55.93832678   4.54306527] 300.0
89: [-55.93832678   4.54306527] 300.0
90: [-55.93832678   4.54306527] 300.0
91: [-55.93832678   4.54306527] 300.0
92: [-55.93832678   4.54306527] 300.0
93: [-55.93832678   4.54306527] 300.0
94: [-55.93832678   4.54306527] 300.0
95: [-55.93832678   4.54306527] 300.0
96: [-55.93832678   4.54306527] 300.0
97: [-55.93832678   4.54306527] 300.0
98: [-55.93832678   4.54306527] 300.0
99: [-55.93832678   4.54306527] 300.0
100: [-55.93832678   4.54306527] 300.0
101: [-55.93832678   4.54306527] 300.0
102: [-55.93832678   4.54306527] 300.0
103: [-55.93832678   4.54306527] 300.0
104: [-55.93832678   4.54306527] 300.0
105: [-55.93832678   4.54306527] 300.0
106: [-55.93832678   4.54306527] 300.0
